order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,2,2,5.49,10.98
2,2,41,3,4.48,13.44
3,2,42,1,4.48,4.48
4,3,4,2,4.99,9.98
5,4,51,1,6.98,6.98
6,4,18,2,3.29,6.58
7,4,26,1,2.99,2.99
8,5,57,1,7.48,7.48
9,6,22,2,3.79,7.58
10,6,26,1,2.99,2.99
11,7,7,1,3.99,3.99
12,7,33,2,8.48,16.96
13,7,31,3,9.48,28.44
14,8,38,2,8.98,17.96
15,9,52,1,4.78,4.78
16,10,10,1,2.79,2.79
17,11,4,3,4.99,14.97
18,11,27,1,3.29,3.29
19,12,33,1,8.48,8.48
20,12,48,1,6.98,6.98
21,12,19,1,1.49,1.49
22,13,57,1,7.48,7.48
23,13,45,2,5.48,10.96
24,14,1,1,3.49,3.49
25,14,12,2,2.99,5.98
26,15,18,2,3.29,6.58
27,15,49,2,8.78,17.56
28,15,18,1,3.29,3.29
29,16,58,1,4.78,4.78
30,17,18,1,3.29,3.29
31,17,50,3,6.98,20.94
32,17,53,2,6.98,13.96
33,18,16,1,2.19,2.19
34,18,47,1,5.48,5.48
35,18,38,1,8.98,8.98
36,18,41,3,4.48,13.44
37,19,59,1,6.98,6.98
38,19,16,1,2.19,2.19
39,20,27,2,3.29,6.58
40,20,25,1,0.99,0.99
41,20,13,1,1.49,1.49
42,21,57,1,7.48,7.48
43,21,22,1,3.79,3.79
44,21,50,1,6.98,6.98
45,22,27,1,3.29,3.29
46,23,34,2,4.48,8.96
47,23,46,2,6.78,13.56
48,23,3,3,5.99,17.97
49,24,23,1,1.49,1.49
50,25,13,1,1.49,1.49
51,25,16,1,2.19,2.19
52,25,41,2,4.48,8.96
53,25,34,1,4.48,4.48
54,26,49,1,8.78,8.78
55,27,56,1,5.48,5.48
56,27,50,1,6.98,6.98
57,28,59,2,6.98,13.96
58,28,1,1,3.49,3.49
59,28,17,1,2.49,2.49
60,28,12,1,2.99,2.99
61,29,24,2,1.99,3.98
62,30,30,1,4.98,4.98
63,31,16,2,2.19,4.38
64,32,37,1,6.98,6.98
65,32,15,1,1.79,1.79
66,32,13,3,1.49,4.47
67,32,13,3,1.49,4.47
68,33,10,1,2.79,2.79
69,33,31,1,9.48,9.48
70,34,40,3,7.48,22.44
71,35,35,1,7.48,7.48
72,35,15,1,1.79,1.79
73,36,11,1,3.49,3.49
74,36,43,2,5.28,10.56
75,36,49,1,8.78,8.78
76,37,31,1,9.48,9.48
77,37,19,3,1.49,4.47
78,37,3,1,5.99,5.99
79,38,26,1,2.99,2.99
80,38,16,1,2.19,2.19
81,39,37,1,6.98,6.98
82,39,14,2,1.29,2.58
83,39,27,1,3.29,3.29
84,39,23,1,1.49,1.49
85,39,14,1,1.29,1.29
86,40,9,1,1.99,1.99
87,41,60,1,6.98,6.98
88,41,46,1,6.78,6.78
89,42,27,1,3.29,3.29
90,42,6,1,5.29,5.29
91,42,26,1,2.99,2.99
92,42,2,1,5.49,5.49
93,42,45,1,5.48,5.48
94,43,2,1,5.49,5.49
95,43,40,1,7.48,7.48
96,44,51,1,6.98,6.98
97,44,43,1,5.28,5.28
98,44,60,1,6.98,6.98
99,45,16,3,2.19,6.57
100,45,31,1,9.48,9.48
101,45,6,1,5.29,5.29
102,45,53,1,6.98,6.98
103,46,37,2,6.98,13.96
104,46,56,3,5.48,16.44
105,46,26,1,2.99,2.99
106,47,52,1,4.78,4.78
107,47,44,3,6.78,20.34
108,48,12,1,2.99,2.99
109,49,28,1,3.49,3.49
110,50,46,3,6.78,20.34
111,50,22,1,3.79,3.79
112,51,16,1,2.19,2.19
113,51,15,1,1.79,1.79
114,52,57,2,7.48,14.96
115,52,7,2,3.99,7.98
116,52,17,1,2.49,2.49
117,52,50,1,6.98,6.98
118,52,32,1,8.78,8.78
119,53,29,1,2.49,2.49
120,53,48,2,6.98,13.96
121,53,5,1,4.99,4.99
122,53,58,2,4.78,9.56
123,54,10,1,2.79,2.79
124,54,2,1,5.49,5.49
125,55,47,1,5.48,5.48
126,55,40,1,7.48,7.48
127,55,7,3,3.99,11.97
128,56,1,1,3.49,3.49
129,57,33,1,8.48,8.48
130,58,52,1,4.78,4.78
131,58,41,2,4.48,8.96
132,58,35,1,7.48,7.48
133,59,33,1,8.48,8.48
134,60,41,1,4.48,4.48
135,61,5,3,4.99,14.97
136,61,37,1,6.98,6.98
137,62,27,1,3.29,3.29
138,62,35,1,7.48,7.48
139,63,18,1,3.29,3.29
140,63,33,1,8.48,8.48
141,63,25,1,0.99,0.99
142,64,43,1,5.28,5.28
143,64,43,2,5.28,10.56
144,64,32,1,8.78,8.78
145,64,18,2,3.29,6.58
146,64,17,3,2.49,7.47
147,65,44,1,6.78,6.78
148,66,32,1,8.78,8.78
149,67,54,1,6.98,6.98
150,67,38,1,8.98,8.98
151,67,53,1,6.98,6.98
152,67,47,1,5.48,5.48
153,68,35,1,7.48,7.48
154,68,58,1,4.78,4.78
155,68,13,2,1.49,2.98
156,68,35,1,7.48,7.48
157,69,18,1,3.29,3.29
158,69,7,1,3.99,3.99
159,69,45,1,5.48,5.48
160,69,36,2,6.98,13.96
161,70,37,1,6.98,6.98
162,70,2,1,5.49,5.49
163,71,43,1,5.28,5.28
164,71,43,1,5.28,5.28
165,71,55,1,6.48,6.48
166,72,6,1,5.29,5.29
167,72,28,1,3.49,3.49
168,72,32,3,8.78,26.34
169,73,50,2,6.98,13.96
170,74,41,1,4.48,4.48
171,75,15,1,1.79,1.79
172,75,46,1,6.78,6.78
173,75,29,1,2.49,2.49
174,76,38,2,8.98,17.96
175,77,24,2,1.99,3.98
176,78,54,2,6.98,13.96
177,79,18,1,3.29,3.29
178,79,47,1,5.48,5.48
179,80,27,2,3.29,6.58
180,80,55,1,6.48,6.48
181,80,35,2,7.48,14.96
182,80,52,3,4.78,14.34
183,81,21,1,3.49,3.49
184,81,52,1,4.78,4.78
185,82,23,1,1.49,1.49
186,82,13,1,1.49,1.49
187,82,44,1,6.78,6.78
188,83,28,1,3.49,3.49
189,83,47,2,5.48,10.96
190,83,16,1,2.19,2.19
191,83,43,1,5.28,5.28
192,84,9,1,1.99,1.99
193,84,29,1,2.49,2.49
194,84,26,1,2.99,2.99
195,85,12,1,2.99,2.99
196,85,31,1,9.48,9.48
197,85,32,1,8.78,8.78
198,86,50,2,6.98,13.96
199,86,27,1,3.29,3.29
200,86,53,2,6.98,13.96
201,87,45,1,5.48,5.48
202,87,60,1,6.98,6.98
203,87,56,1,5.48,5.48
204,88,6,1,5.29,5.29
205,88,15,1,1.79,1.79
206,89,41,1,4.48,4.48
207,89,41,3,4.48,13.44
208,89,49,3,8.78,26.34
209,90,10,3,2.79,8.37
210,90,55,1,6.48,6.48
211,90,19,1,1.49,1.49
212,90,29,1,2.49,2.49
213,90,2,2,5.49,10.98
214,91,2,2,5.49,10.98
215,91,31,1,9.48,9.48
216,92,7,1,3.99,3.99
217,93,39,1,8.48,8.48
218,94,5,1,4.99,4.99
219,94,55,1,6.48,6.48
220,95,26,3,2.99,8.97
221,95,37,1,6.98,6.98
222,96,59,1,6.98,6.98
223,97,49,1,8.78,8.78
224,97,57,1,7.48,7.48
225,97,9,2,1.99,3.98
226,97,53,1,6.98,6.98
227,98,27,1,3.29,3.29
228,98,8,2,5.99,11.98
229,98,32,2,8.78,17.56
230,99,54,2,6.98,13.96
231,99,8,1,5.99,5.99
232,100,12,1,2.99,2.99
233,101,2,1,5.49,5.49
234,101,34,1,4.48,4.48
235,102,50,1,6.98,6.98
236,103,42,3,4.48,13.44
237,103,11,1,3.49,3.49
238,103,29,1,2.49,2.49
239,104,20,1,3.99,3.99
240,105,27,1,3.29,3.29
241,105,2,2,5.49,10.98
242,105,57,1,7.48,7.48
243,106,55,1,6.48,6.48
244,106,8,1,5.99,5.99
245,107,21,1,3.49,3.49
246,107,42,2,4.48,8.96
247,108,29,1,2.49,2.49
248,108,41,2,4.48,8.96
249,108,52,1,4.78,4.78
250,108,51,1,6.98,6.98
251,109,44,2,6.78,13.56
252,109,18,2,3.29,6.58
253,109,51,2,6.98,13.96
254,109,42,2,4.48,8.96
255,110,38,1,8.98,8.98
256,111,17,2,2.49,4.98
257,111,1,1,3.49,3.49
258,111,58,1,4.78,4.78
259,111,50,2,6.98,13.96
260,111,26,1,2.99,2.99
261,112,59,1,6.98,6.98
262,112,54,3,6.98,20.94
263,112,57,1,7.48,7.48
264,112,19,2,1.49,2.98
265,113,6,1,5.29,5.29
266,113,8,1,5.99,5.99
267,114,23,1,1.49,1.49
268,114,4,3,4.99,14.97
269,115,37,1,6.98,6.98
270,116,7,1,3.99,3.99
271,117,58,1,4.78,4.78
272,117,23,1,1.49,1.49
273,118,23,1,1.49,1.49
274,118,41,2,4.48,8.96
275,118,22,1,3.79,3.79
276,119,57,1,7.48,7.48
277,119,23,1,1.49,1.49
278,119,59,1,6.98,6.98
279,119,17,1,2.49,2.49
280,119,60,3,6.98,20.94
281,120,10,1,2.79,2.79
282,120,16,1,2.19,2.19
283,120,4,1,4.99,4.99
284,121,26,1,2.99,2.99
285,121,11,3,3.49,10.47
286,122,60,1,6.98,6.98
287,122,1,2,3.49,6.98
288,123,25,2,0.99,1.98
289,123,8,1,5.99,5.99
290,123,43,1,5.28,5.28
291,124,2,2,5.49,10.98
292,124,26,1,2.99,2.99
293,125,43,1,5.28,5.28
294,125,42,1,4.48,4.48
295,126,39,1,8.48,8.48
296,127,54,3,6.98,20.94
297,127,25,1,0.99,0.99
298,127,48,3,6.98,20.94
299,127,18,1,3.29,3.29
300,128,30,1,4.98,4.98
301,128,45,2,5.48,10.96
302,129,34,2,4.48,8.96
303,130,5,1,4.99,4.99
304,130,5,1,4.99,4.99
